Dimensao das Matrizes,Valor maximo permitido,Tempo pedestre,Tempo artigo
50,1,0.02392706199316308,0.0012236579786986113
50,10,0.023066144029144198,0.0012332350015640259
50,100,0.022205178975127637,0.0012017820263281465
50,1000,0.0218765499885194,0.0013162550167180598
100,1,0.17506117501761764,0.004915828991215676
100,10,0.17648531799204648,0.004615849000401795
100,100,0.17697598395170644,0.004630314011592418
100,1000,0.17637696204474196,0.004614617966581136
200,1,1.3817337109940127,0.0187759610125795
200,10,1.3728371979668736,0.01886956999078393
200,100,1.3626636849949136,0.019039114005863667
200,1000,1.366953136981465,0.019177061971277
300,1,4.65209716395475,0.04243174602743238
300,10,4.88168556796154,0.04286082001635805
300,100,4.866990736045409,0.04243796301307157
300,1000,4.8491618080297485,0.04318148799939081
400,1,11.584927498013712,0.07752781099407002
400,10,11.520002058998216,0.07785647996934131
400,100,11.470690808957443,0.08024822804145515
400,1000,11.748452030005865,0.07785241497913375
500,1,22.945474131964147,0.12202332704328
500,10,22.616524442040827,0.12244419404305518
500,100,22.723808437003754,0.1216563829802908
500,1000,22.811390739982016,0.1219886529725045
600,1,39.14440862997435,0.17606348701519892
600,10,38.622300200979225,0.18383261997951195
600,100,38.89669251901796,0.17642923502717167
600,1000,38.96958159201313,0.17742235300829634
700,1,63.68898742296733,0.25195691297994927
700,10,63.288983698992524,0.24495087296236306
700,100,63.14783070702106,0.24543567199725658
700,1000,62.758272134000435,0.2525168629945256
800,1,94.26395938696805,0.31861609098268673
800,10,97.274903411977,0.31782501097768545
800,100,98.14121696702205,0.32558091200189665
800,1000,97.9896220730152,0.3179192849784158
900,1,139.51548070798162,0.4309352510026656
900,10,143.98316137801157,0.42842060601105914
900,100,137.00866747600958,0.41734539897879586
900,1000,142.7038470620173,0.441611832997296
1000,1,196.3926305110217,0.5273789719794877
1000,10,195.24642425403,0.5319334919913672
1000,100,192.39924636401702,0.5144685719860718
1000,1000,192.50180408800952,0.4987630670075305
